name,password,phoneNumber,franchiseName,category,telephoneNumber,address,latitude,longitude,rrnPrefix,rrnCheckDigit,registrationNumber
올페이,Password123!,01000000001,광화문미진,KOREAN,027321954,"서울특별시 종로구 종로 19 1동 비211호 (종로1가, 르메이에르종로타운)",37.57084629,126.9799236,891013,1,0000000001
올페이,Password123!,01000000002,제이제이수산푸드,GENERAL,0200000000,"서울특별시 강서구 화곡로 133 1층 (화곡동, 삼정빌딩)",37.54083225,126.8364905,891013,1,0000000002
올페이,Password123!,01000000003,신세계푸드 이마트본사,GENERAL,0216876792,서울특별시 중구 세종대로7길 37 18층,37.56074886,126.9724896,891013,1,0000000003
올페이,Password123!,01000000004,(1970)추억의수제돈까스,GENERAL,0241111111,서울특별시 광진구 동일로52길 39 1층,37.55402709,127.0733755,891013,1,0000000004
올페이,Password123!,01000000005,(BHC)구산예일,GENERAL,023573517,"서울 은평구 갈현로 141, 1층 BHC (구산동, 씨엔빌)",37.61060412,126.9109713,891013,1,0000000005
올페이,Password123!,01000000006,(BHC)답십리점,GENERAL,0211111111,서울특별시 동대문구 전농로 65-1 1층,37.57082561,127.0570143,891013,1,0000000006
올페이,Password123!,01000000007,(BHC)비에이치씨 남산서울타워점,GENERAL,0237897526,서울특별시 용산구 남산공원길 105 YTN서울타워 1층110호 111호,37.55106957,126.9878711,891013,1,0000000007
올페이,Password123!,01000000008,(C.C) 치킨카페,GENERAL,029713798,서울특별시 노원구 동일로176길 41 1층 제1호,37.62043969,127.0773131,891013,1,0000000008
올페이,Password123!,01000000009,(INBITO)인비또,WESTERN,0211111111,서울특별시 노원구 상계로12길 35 1층 102호(상계동),37.65661867,127.0695128,891013,1,0000000009
올페이,Password123!,01000000010,(LABAB)서울대입구역점,KOREAN,028852919,"서울 관악구 남부순환로 1811, 106 (봉천동, 신원메트로빌)",37.48171366,126.9515023,891013,1,0000000010
올페이,Password123!,01000000011,(NO MONDAY) 노먼데이,GENERAL,0200000000,"서울특별시 은평구 응암로25길 22 제1, 지1층 제101호 전체",37.59555384,126.9159481,891013,1,0000000011
올페이,Password123!,01000000012,(S)급 레시피 은평점,KOREAN,0211111111,"서울특별시 은평구 통일로73길 31-1 ,1층101호",37.61426695,126.9212683,891013,1,0000000012
올페이,Password123!,01000000013,(SOLDOUT BAKERY)솔드아웃베이커리,BAKERY,07000000000,"서울특별시 은평구 연서로26길 15-17 ,제1층 제101호",37.61700275,126.9216477,891013,1,0000000013
올페이,Password123!,01000000014,(THE)더용쓰 샤브샤브&꽃게,GENERAL,029095859,서울 성북구 종암로28길 72-8 (종암동),37.60029485,127.0349694,891013,1,0000000014
올페이,Password123!,01000000015,(THE)마시조아,GENERAL,024447890,서울 광진구 뚝섬로52가길 22-1 (자양동),37.53098297,127.0805665,891013,1,0000000015
올페이,Password123!,01000000016,(계절)키세츠스시,JAPANESE,0200000000,서울특별시 강동구 상암로47길 83 1층(명일동),37.55022511,127.1444351,891013,1,0000000016
올페이,Password123!,01000000017,(고가네)THE 떡볶이,KOREAN,024871442,서울 강동구 천호대로157길 43 (천호동),37.53972576,127.1275533,891013,1,0000000017
올페이,Password123!,01000000018,(구도로)돈순이,KOREAN,0226202228,서울특별시 강서구 화곡로52길 39 1층(회곡동),37.54959983,126.8505327,891013,1,0000000018
올페이,Password123!,01000000019,(노원하계점)하남돼지집,KOREAN,029789232,"서울 노원구 한글비석로1길 51, 1층 (하계동)",37.64003356,127.0704736,891013,1,0000000019
올페이,Password123!,01000000020,(더)두레식당,GENERAL,029284882,서울특별시 성북구 북악산로 1061 1층,37.59265712,127.0357833,891013,1,0000000020
올페이,Password123!,01000000021,(돌통)돌아온 옛날통닭,KOREAN,0236650789,서울특별시 강서구 양천로 691-3 1층,37.55057479,126.8731113,891013,1,0000000021
올페이,Password123!,01000000022,(메차쿠차),WESTERN,024539733,"서울 광진구 구의강변로3길 11, 지하1층 (구의동)",37.53569199,127.0914036,891013,1,0000000022
올페이,Password123!,01000000023,(목우촌)봄이네 삼겹살,KOREAN,024709032,서울 강동구 성안로3길 76 (성내동),37.52727241,127.1257731,891013,1,0000000023
